design,partition,cohort_index,source_row_id,financial_year,larger_fire
temporal,train,98,101,2010/11,0
temporal,train,99,102,2010/11,0
temporal,train,100,103,2010/11,1
temporal,train,101,104,2010/11,0
temporal,train,102,105,2010/11,0
temporal,train,103,106,2010/11,0
temporal,train,104,107,2010/11,0
temporal,train,105,108,2010/11,1
temporal,train,106,109,2010/11,0
temporal,train,107,110,2010/11,0
temporal,train,108,111,2010/11,1
temporal,train,109,112,2010/11,0
temporal,train,110,113,2010/11,0
temporal,train,111,115,2010/11,0
temporal,train,112,116,2010/11,0
temporal,train,113,117,2010/11,1
temporal,train,114,118,2010/11,0
temporal,train,115,119,2010/11,0
temporal,train,116,120,2010/11,0
temporal,train,117,121,2010/11,0
temporal,train,118,122,2010/11,0
temporal,train,119,123,2010/11,1
temporal,train,120,124,2010/11,0
temporal,train,121,125,2010/11,0
temporal,train,122,126,2010/11,0
temporal,train,123,127,2010/11,0
temporal,train,124,128,2010/11,0
temporal,train,125,129,2010/11,0
temporal,train,126,130,2010/11,0
temporal,train,127,131,2010/11,0
temporal,train,128,132,2010/11,0
temporal,train,129,133,2010/11,1
temporal,train,130,134,2010/11,0
temporal,train,131,135,2010/11,0
temporal,train,132,136,2010/11,0
temporal,train,133,137,2010/11,0
temporal,train,134,138,2010/11,1
temporal,train,135,139,2010/11,0
temporal,train,136,140,2010/11,1
temporal,train,137,141,2010/11,0
temporal,train,138,142,2010/11,0
temporal,train,139,143,2010/11,0
temporal,train,140,144,2010/11,0
temporal,train,141,145,2010/11,0
temporal,train,142,146,2010/11,0
temporal,train,143,147,2010/11,0
temporal,train,144,148,2010/11,0
temporal,train,145,149,2010/11,0
temporal,train,146,150,2010/11,0
temporal,train,147,151,2010/11,0
temporal,train,148,152,2010/11,0
temporal,train,149,153,2010/11,0
temporal,train,150,154,2010/11,0
temporal,train,151,155,2010/11,0
temporal,train,152,156,2010/11,0
temporal,train,153,157,2010/11,0
temporal,train,154,158,2010/11,0
temporal,train,155,159,2010/11,0
temporal,train,156,160,2010/11,0
temporal,train,157,161,2010/11,0
temporal,train,158,162,2010/11,0
temporal,train,159,163,2010/11,0
temporal,train,160,164,2010/11,0
temporal,train,161,165,2010/11,0
temporal,train,162,166,2010/11,0
temporal,train,163,167,2010/11,0
temporal,train,164,168,2010/11,0
temporal,train,165,169,2010/11,0
temporal,train,166,170,2010/11,0
temporal,train,167,171,2010/11,1
temporal,train,168,172,2010/11,0
temporal,train,169,173,2010/11,0
temporal,train,170,174,2010/11,0
temporal,train,171,175,2010/11,0
temporal,train,172,176,2010/11,0
temporal,train,173,177,2010/11,0
temporal,train,174,178,2010/11,0
temporal,train,175,179,2010/11,1
temporal,train,176,180,2010/11,1
temporal,train,177,181,2010/11,1
temporal,train,178,182,2010/11,1
temporal,train,179,183,2010/11,1
temporal,train,180,184,2010/11,0
temporal,train,181,185,2010/11,0
temporal,train,182,186,2010/11,0
temporal,train,183,187,2010/11,0
temporal,train,184,188,2010/11,0
temporal,train,185,189,2010/11,0
temporal,train,186,191,2010/11,0
temporal,train,187,192,2010/11,0
temporal,train,188,193,2010/11,0
temporal,train,189,194,2010/11,0
temporal,train,190,195,2010/11,0
temporal,train,191,196,2010/11,0
temporal,train,192,197,2010/11,0
temporal,train,193,198,2010/11,0
temporal,train,194,199,2010/11,0
temporal,train,195,200,2010/11,0
temporal,train,196,201,2010/11,0
temporal,train,197,202,2010/11,0
temporal,train,198,203,2010/11,0
temporal,train,199,204,2010/11,0
temporal,train,200,205,2010/11,1
temporal,train,201,206,2010/11,0
temporal,train,202,208,2010/11,0
temporal,train,203,209,2010/11,0
temporal,train,204,210,2010/11,0
temporal,train,205,211,2010/11,0
temporal,train,206,212,2010/11,1
temporal,train,207,213,2010/11,0
temporal,train,208,214,2010/11,0
temporal,train,209,215,2010/11,0
temporal,train,210,216,2010/11,1
temporal,train,211,217,2010/11,0
temporal,train,212,218,2010/11,0
temporal,train,213,219,2010/11,0
temporal,train,214,220,2010/11,0
temporal,train,215,221,2010/11,0
temporal,train,216,222,2010/11,0
temporal,train,217,223,2010/11,0
temporal,train,218,224,2010/11,0
temporal,train,219,225,2010/11,1
temporal,train,220,226,2010/11,0
temporal,train,221,227,2010/11,0
temporal,train,222,228,2010/11,0
temporal,train,223,229,2010/11,0
temporal,train,224,230,2010/11,1
temporal,train,225,231,2010/11,0
temporal,train,226,232,2010/11,0
temporal,train,227,233,2010/11,0
temporal,train,228,234,2010/11,0
temporal,train,229,235,2010/11,1
temporal,train,230,236,2010/11,0
temporal,train,231,238,2010/11,1
temporal,train,232,239,2010/11,0
temporal,train,233,240,2010/11,0
temporal,train,234,241,2010/11,1
temporal,train,235,242,2010/11,0
temporal,train,236,243,2010/11,1
temporal,train,237,244,2010/11,0
temporal,train,238,245,2010/11,0
temporal,train,239,246,2010/11,0
temporal,train,240,247,2010/11,0
temporal,train,241,248,2010/11,0
temporal,train,242,249,2010/11,0
temporal,train,243,250,2010/11,0
temporal,train,244,251,2010/11,0
temporal,train,245,252,2010/11,0
temporal,train,246,253,2010/11,1
temporal,train,247,254,2010/11,0
temporal,train,248,255,2010/11,0
temporal,train,249,256,2010/11,0
temporal,train,250,257,2010/11,0
temporal,train,251,258,2010/11,0
temporal,train,252,259,2010/11,0
temporal,train,253,260,2010/11,0
temporal,train,254,261,2010/11,0
temporal,train,255,262,2010/11,0
temporal,train,256,263,2010/11,0
temporal,train,257,264,2010/11,0
temporal,train,258,265,2010/11,1
temporal,train,259,266,2010/11,0
temporal,train,260,267,2010/11,0
temporal,train,261,268,2010/11,0
temporal,train,262,269,2010/11,0
temporal,train,263,270,2010/11,0
temporal,train,264,271,2010/11,0
temporal,train,265,273,2010/11,0
temporal,train,266,274,2010/11,1
temporal,train,267,275,2010/11,0
temporal,train,268,276,2010/11,0
temporal,train,269,277,2010/11,0
temporal,train,270,278,2010/11,0
temporal,train,271,279,2010/11,0
temporal,train,272,280,2010/11,0
temporal,train,273,281,2010/11,0
temporal,train,274,282,2010/11,0
temporal,train,275,283,2010/11,0
temporal,train,276,284,2010/11,0
temporal,train,277,285,2010/11,0
temporal,train,278,286,2010/11,1
temporal,train,279,287,2010/11,1
temporal,train,280,288,2010/11,0
temporal,train,281,289,2010/11,0
temporal,train,282,290,2010/11,0
temporal,train,283,291,2010/11,0
temporal,train,284,292,2010/11,0
temporal,train,285,293,2010/11,0
temporal,train,286,294,2010/11,0
temporal,train,287,295,2010/11,1
temporal,train,288,296,2010/11,0
temporal,train,289,297,2010/11,0
temporal,train,290,299,2010/11,0
temporal,train,291,300,2010/11,0
temporal,train,292,302,2010/11,0
temporal,train,293,303,2010/11,0
temporal,train,294,304,2010/11,0
temporal,train,295,305,2010/11,0
temporal,train,296,306,2010/11,0
temporal,train,297,307,2010/11,1
temporal,train,298,308,2010/11,0
temporal,train,299,309,2010/11,1
temporal,train,300,310,2010/11,0
temporal,train,301,311,2010/11,0
temporal,train,302,312,2010/11,0
temporal,train,303,313,2010/11,0
temporal,train,304,314,2010/11,0
temporal,train,305,315,2010/11,0
temporal,train,306,316,2010/11,0
temporal,train,307,317,2010/11,0
temporal,train,308,318,2010/11,0
temporal,train,309,319,2010/11,0
temporal,train,310,320,2010/11,0
temporal,train,311,321,2010/11,0
temporal,train,312,322,2010/11,0
temporal,train,313,323,2010/11,1
temporal,train,314,324,2010/11,0
temporal,train,315,325,2010/11,0
temporal,train,316,326,2010/11,0
temporal,train,317,327,2010/11,1
temporal,train,318,328,2010/11,0
temporal,train,319,329,2010/11,0
temporal,train,320,330,2010/11,0
temporal,train,321,331,2010/11,0
temporal,train,322,332,2010/11,0
temporal,train,323,333,2010/11,0
temporal,train,324,334,2010/11,0
temporal,train,325,335,2010/11,0
temporal,train,326,336,2010/11,0
temporal,train,327,337,2010/11,0
temporal,train,328,338,2010/11,0
temporal,train,329,339,2010/11,0
temporal,train,330,340,2010/11,0
temporal,train,331,341,2010/11,0
temporal,train,332,342,2010/11,0
temporal,train,333,343,2010/11,0
temporal,train,334,344,2010/11,0
temporal,train,335,345,2010/11,0
temporal,train,336,346,2010/11,0
temporal,train,337,347,2010/11,0
temporal,train,338,348,2010/11,0
temporal,train,339,349,2010/11,0
temporal,train,340,350,2010/11,0
temporal,train,341,351,2010/11,0
temporal,train,342,352,2010/11,0
temporal,train,343,353,2010/11,0
temporal,train,344,354,2010/11,0
temporal,train,345,355,2010/11,0
temporal,train,346,356,2010/11,1
temporal,train,347,357,2010/11,1
temporal,train,348,358,2010/11,0
temporal,train,349,359,2010/11,0
temporal,train,350,360,2010/11,1
temporal,train,351,361,2010/11,0
temporal,train,352,362,2010/11,0
temporal,train,353,363,2010/11,0
temporal,train,354,364,2010/11,0
temporal,train,355,365,2010/11,0
temporal,train,356,366,2010/11,0
temporal,train,357,367,2010/11,0
temporal,train,358,368,2010/11,0
temporal,train,359,369,2010/11,0
temporal,train,360,370,2010/11,0
temporal,train,361,371,2010/11,0
temporal,train,362,372,2010/11,0
temporal,train,363,373,2010/11,0
temporal,train,364,374,2010/11,0
temporal,train,365,375,2010/11,0
temporal,train,366,376,2010/11,1
temporal,train,367,377,2010/11,1
temporal,train,368,378,2010/11,0
temporal,train,369,379,2010/11,0
temporal,train,370,380,2010/11,0
temporal,train,371,381,2010/11,0
temporal,train,372,382,2010/11,0
temporal,train,373,383,2010/11,0
temporal,train,374,384,2010/11,0
temporal,train,375,385,2010/11,0
temporal,train,376,386,2010/11,0
temporal,train,377,387,2010/11,0
temporal,train,378,388,2010/11,0
temporal,train,379,389,2010/11,1
temporal,train,380,390,2010/11,0
temporal,train,381,391,2010/11,0
temporal,train,382,392,2010/11,1
temporal,train,383,393,2010/11,0
temporal,train,384,394,2010/11,0
temporal,train,385,395,2010/11,0
temporal,train,386,396,2010/11,0
temporal,train,387,397,2010/11,0
temporal,train,388,398,2010/11,0
temporal,train,389,399,2010/11,0
temporal,train,390,400,2010/11,1
temporal,train,391,402,2010/11,1
temporal,train,392,403,2010/11,1
temporal,train,393,404,2010/11,1
temporal,train,394,405,2010/11,0
temporal,train,395,406,2010/11,0
temporal,train,396,407,2010/11,1
temporal,train,397,408,2010/11,0
temporal,train,398,409,2010/11,0
temporal,train,399,410,2010/11,0
temporal,train,400,411,2010/11,0
temporal,train,401,412,2010/11,0
temporal,train,402,413,2010/11,0
temporal,train,403,414,2010/11,1
temporal,train,404,415,2010/11,0
temporal,train,405,416,2010/11,0
temporal,train,406,417,2010/11,1
temporal,train,407,418,2010/11,0
temporal,train,408,419,2010/11,0
temporal,train,409,420,2010/11,1
temporal,train,410,421,2010/11,0
temporal,train,411,422,2010/11,1
temporal,train,412,423,2010/11,0
temporal,train,413,424,2010/11,1
temporal,train,414,425,2010/11,1
temporal,train,415,428,2010/11,0
temporal,train,416,429,2010/11,0
temporal,train,417,430,2010/11,0
temporal,train,418,431,2010/11,0
temporal,train,419,432,2010/11,0
temporal,train,420,433,2010/11,0
temporal,train,421,434,2010/11,0
temporal,train,422,435,2010/11,0
temporal,train,423,436,2010/11,1
temporal,train,424,437,2010/11,0
temporal,train,425,438,2010/11,0
temporal,train,426,440,2010/11,0
temporal,train,427,441,2010/11,1
temporal,train,428,442,2010/11,0
temporal,train,429,443,2010/11,1
temporal,train,430,444,2010/11,0
temporal,train,431,445,2010/11,0
temporal,train,432,446,2010/11,0
temporal,train,433,447,2010/11,1
temporal,train,434,448,2010/11,0
temporal,train,435,450,2010/11,1
temporal,train,436,451,2010/11,0
temporal,train,437,452,2010/11,0
temporal,train,438,453,2010/11,0
temporal,train,439,454,2010/11,0
temporal,train,440,455,2010/11,1
temporal,train,441,456,2010/11,0
temporal,train,442,457,2010/11,0
temporal,train,443,458,2010/11,0
temporal,train,444,459,2010/11,0
temporal,train,445,460,2010/11,0
temporal,train,446,461,2010/11,1
temporal,train,447,462,2010/11,0
temporal,train,448,463,2010/11,0
temporal,train,449,464,2010/11,1
temporal,train,450,465,2010/11,1
temporal,train,451,466,2010/11,0
temporal,train,452,467,2010/11,0
temporal,train,453,468,2010/11,0
temporal,train,454,469,2010/11,0
temporal,train,455,470,2010/11,0
temporal,train,456,471,2010/11,0
temporal,train,457,472,2010/11,0
temporal,train,458,473,2010/11,0
temporal,train,459,474,2010/11,0
temporal,train,460,475,2010/11,0
temporal,train,461,476,2010/11,0
temporal,train,462,477,2010/11,0
temporal,train,463,478,2010/11,0
temporal,train,464,479,2010/11,0
temporal,train,465,480,2010/11,0
temporal,train,466,481,2010/11,1
temporal,train,467,482,2010/11,0
temporal,train,468,483,2010/11,0
temporal,train,469,484,2010/11,0
temporal,train,470,485,2010/11,0
temporal,train,471,486,2010/11,0
temporal,train,472,487,2010/11,0
temporal,train,473,488,2010/11,0
temporal,train,474,490,2010/11,0
temporal,train,475,491,2010/11,0
temporal,train,476,492,2010/11,0
temporal,train,477,493,2010/11,0
temporal,train,478,494,2010/11,0
temporal,train,479,495,2010/11,0
temporal,train,480,496,2010/11,0
temporal,train,481,497,2010/11,1
temporal,train,482,498,2010/11,0
temporal,train,483,499,2010/11,0
temporal,train,484,500,2010/11,0
temporal,train,485,501,2010/11,1
temporal,train,486,502,2010/11,0
temporal,train,487,503,2010/11,0
temporal,train,488,504,2010/11,1
temporal,train,489,505,2010/11,0
temporal,train,490,506,2010/11,0
temporal,train,491,507,2010/11,0
temporal,train,492,508,2010/11,0
temporal,train,493,509,2010/11,0
temporal,train,494,510,2010/11,0
temporal,train,495,511,2010/11,0
temporal,train,496,512,2010/11,0
temporal,train,497,513,2010/11,0
temporal,train,498,514,2010/11,0
temporal,train,499,515,2010/11,0
temporal,train,500,517,2010/11,0
temporal,train,501,518,2010/11,0
temporal,train,502,519,2010/11,0
temporal,train,503,520,2010/11,1
temporal,train,504,521,2010/11,0
temporal,train,505,522,2010/11,0
temporal,train,506,523,2010/11,1
temporal,train,507,524,2010/11,0
temporal,train,508,525,2010/11,1
temporal,train,509,526,2010/11,0
temporal,train,510,527,2010/11,0
temporal,train,511,528,2010/11,0
temporal,train,512,529,2010/11,0
temporal,train,513,530,2010/11,0
temporal,train,514,531,2010/11,0
temporal,train,515,532,2010/11,0
temporal,train,516,533,2010/11,0
temporal,train,517,534,2010/11,0
temporal,train,518,535,2010/11,1
temporal,train,519,537,2010/11,0
temporal,train,520,538,2010/11,0
temporal,train,521,539,2010/11,0
temporal,train,522,540,2010/11,0
temporal,train,523,541,2010/11,0
temporal,train,524,542,2010/11,0
temporal,train,525,543,2010/11,0
temporal,train,526,544,2010/11,0
temporal,train,527,545,2010/11,0
temporal,train,528,546,2010/11,0
temporal,train,529,547,2010/11,0
temporal,train,530,548,2010/11,0
temporal,train,531,549,2010/11,0
temporal,train,532,550,2010/11,0
temporal,train,533,551,2010/11,0
temporal,train,534,552,2010/11,0
temporal,train,535,553,2010/11,0
temporal,train,536,554,2010/11,0
temporal,train,537,555,2010/11,0
temporal,train,538,556,2010/11,0
temporal,train,539,557,2010/11,0
temporal,train,540,558,2010/11,0
temporal,train,541,559,2010/11,0
temporal,train,542,560,2010/11,0
temporal,train,543,561,2010/11,0
temporal,train,544,562,2010/11,0
temporal,train,545,563,2010/11,0
temporal,train,546,564,2010/11,1
temporal,train,547,565,2010/11,0
temporal,train,548,567,2010/11,0
temporal,train,549,568,2010/11,0
temporal,train,550,569,2010/11,0
temporal,train,551,570,2010/11,0
temporal,train,552,571,2010/11,0
temporal,train,553,572,2010/11,0
temporal,train,554,573,2010/11,0
temporal,train,555,574,2010/11,0
temporal,train,556,575,2010/11,0
temporal,train,557,576,2010/11,0
temporal,train,558,577,2010/11,0
temporal,train,559,578,2010/11,1
temporal,train,560,579,2010/11,0
temporal,train,561,580,2010/11,0
temporal,train,562,581,2010/11,0
temporal,train,563,582,2010/11,0
temporal,train,564,583,2010/11,0
temporal,train,565,584,2010/11,0
temporal,train,566,585,2010/11,1
temporal,train,567,586,2010/11,1
temporal,train,568,587,2010/11,0
temporal,train,569,588,2010/11,1
temporal,train,570,589,2010/11,0
temporal,train,571,590,2010/11,1
temporal,train,572,591,2010/11,1
temporal,train,573,592,2010/11,1
temporal,train,574,593,2010/11,1
temporal,train,575,594,2010/11,1
temporal,train,576,595,2010/11,0
temporal,train,577,596,2010/11,0
temporal,train,578,597,2010/11,0
temporal,train,579,598,2010/11,0
temporal,train,580,599,2010/11,0
temporal,train,581,600,2010/11,0
temporal,train,582,601,2010/11,1
temporal,train,583,602,2010/11,1
temporal,train,584,604,2010/11,0
temporal,train,585,605,2010/11,0
temporal,train,586,606,2010/11,0
temporal,train,587,607,2010/11,0
temporal,train,588,608,2010/11,0
temporal,train,589,609,2010/11,1
temporal,train,590,610,2010/11,0
temporal,train,591,611,2010/11,0
temporal,train,592,612,2010/11,1
temporal,train,593,613,2010/11,1
temporal,train,594,614,2010/11,0
temporal,train,595,615,2010/11,1
temporal,train,596,616,2010/11,1
temporal,train,597,617,2010/11,0
temporal,train,598,618,2010/11,0
temporal,train,599,619,2010/11,0
temporal,train,600,621,2010/11,1
temporal,train,601,622,2010/11,0
temporal,train,602,623,2010/11,0
temporal,train,603,624,2010/11,1
temporal,train,604,625,2010/11,1
temporal,train,605,626,2010/11,1
temporal,train,606,627,2010/11,0
temporal,train,607,628,2010/11,1
temporal,train,608,629,2010/11,0
temporal,train,609,630,2010/11,0
temporal,train,610,631,2010/11,0
temporal,train,611,632,2010/11,1
temporal,train,612,633,2010/11,0
temporal,train,613,634,2010/11,0
temporal,train,614,635,2010/11,0
temporal,train,615,638,2010/11,1
temporal,train,616,639,2010/11,0
temporal,train,617,640,2010/11,0
temporal,train,618,641,2010/11,0
temporal,train,619,642,2010/11,0
temporal,train,620,643,2010/11,1
temporal,train,621,644,2010/11,0
temporal,train,622,645,2010/11,0
temporal,train,623,646,2010/11,0
temporal,train,624,647,2010/11,0
temporal,train,625,648,2010/11,0
temporal,train,626,649,2010/11,0
temporal,train,627,650,2010/11,0
temporal,train,628,651,2010/11,0
temporal,train,629,652,2010/11,1
temporal,train,630,653,2010/11,0
temporal,train,631,654,2010/11,0
temporal,train,632,655,2010/11,0
temporal,train,633,656,2010/11,0
temporal,train,634,658,2010/11,0
temporal,train,635,659,2010/11,0
temporal,train,636,660,2010/11,0
temporal,train,637,661,2010/11,0
temporal,train,638,662,2010/11,0
temporal,train,639,663,2010/11,0
temporal,train,640,664,2010/11,0
temporal,train,641,666,2010/11,0
temporal,train,642,667,2010/11,1
temporal,train,643,668,2010/11,1
temporal,train,644,669,2010/11,0
temporal,train,645,670,2010/11,0
temporal,train,646,671,2010/11,1
temporal,train,647,672,2010/11,0
temporal,train,648,673,2010/11,0
temporal,train,649,674,2010/11,0
temporal,train,650,675,2010/11,0
temporal,train,651,676,2010/11,0
temporal,train,652,677,2010/11,0
temporal,train,653,678,2010/11,0
temporal,train,654,679,2010/11,0
temporal,train,655,680,2010/11,1
temporal,train,656,681,2010/11,0
temporal,train,657,682,2010/11,0
temporal,train,658,683,2010/11,0
temporal,train,659,684,2010/11,1
temporal,train,660,685,2010/11,0
temporal,train,661,686,2010/11,0
temporal,train,662,687,2010/11,0
temporal,train,663,688,2010/11,1
temporal,train,664,689,2010/11,0
temporal,train,665,690,2010/11,0
temporal,train,666,691,2010/11,0
temporal,train,667,692,2010/11,0
temporal,train,668,693,2010/11,0
temporal,train,669,694,2010/11,0
temporal,train,670,695,2010/11,0
temporal,train,671,696,2010/11,1
temporal,train,672,697,2010/11,0
temporal,train,673,698,2010/11,0
temporal,train,674,699,2010/11,0
temporal,train,675,700,2010/11,0
temporal,train,676,701,2010/11,1
temporal,train,677,702,2010/11,0
temporal,train,678,703,2010/11,0
temporal,train,679,704,2010/11,0
temporal,train,680,705,2010/11,0
temporal,train,681,706,2010/11,0
temporal,train,682,707,2010/11,0
temporal,train,683,708,2010/11,1
temporal,train,684,709,2010/11,0
temporal,train,685,710,2010/11,0
temporal,train,686,711,2010/11,0
temporal,train,687,712,2010/11,0
temporal,train,688,713,2010/11,0
temporal,train,689,714,2010/11,0
temporal,train,690,715,2010/11,0
temporal,train,691,716,2010/11,0
temporal,train,692,717,2010/11,0
temporal,train,693,718,2010/11,0
temporal,train,694,719,2010/11,1
temporal,train,695,720,2010/11,0
temporal,train,696,721,2010/11,0
temporal,train,697,722,2010/11,1
temporal,train,698,723,2010/11,0
temporal,train,699,724,2010/11,0
temporal,train,700,725,2010/11,1
temporal,train,701,726,2010/11,0
temporal,train,702,727,2010/11,0
temporal,train,703,728,2010/11,0
temporal,train,704,729,2010/11,1
temporal,train,705,730,2010/11,0
temporal,train,706,731,2010/11,0
temporal,train,707,732,2010/11,0
temporal,train,708,733,2010/11,0
temporal,train,709,734,2010/11,0
temporal,train,710,735,2010/11,0
temporal,train,711,736,2010/11,0
temporal,train,712,737,2010/11,0
temporal,train,713,738,2010/11,1
temporal,train,714,739,2010/11,0
temporal,train,715,740,2010/11,0
temporal,train,716,741,2010/11,0
temporal,train,717,742,2010/11,1
temporal,train,718,743,2010/11,0
temporal,train,719,744,2010/11,0
temporal,train,720,745,2010/11,0
temporal,train,721,746,2010/11,0
temporal,train,722,747,2010/11,0
temporal,train,723,748,2010/11,0
temporal,train,724,749,2010/11,1
temporal,train,725,750,2010/11,0
temporal,train,726,751,2010/11,0
temporal,train,727,752,2010/11,0
temporal,train,728,753,2010/11,0
temporal,train,729,754,2010/11,0
temporal,train,730,755,2010/11,0
temporal,train,731,756,2010/11,0
temporal,train,732,757,2010/11,0
temporal,train,733,758,2010/11,1
temporal,train,734,759,2010/11,0
temporal,train,735,760,2010/11,1
temporal,train,736,761,2010/11,0
temporal,train,737,762,2010/11,1
temporal,train,738,763,2010/11,1
temporal,train,739,764,2010/11,0
temporal,train,740,765,2010/11,0
temporal,train,741,766,2010/11,0
temporal,train,742,767,2010/11,0
temporal,train,743,768,2010/11,0
temporal,train,744,769,2010/11,0
temporal,train,745,770,2010/11,0
temporal,train,746,771,2010/11,0
temporal,train,747,772,2010/11,0
temporal,train,748,773,2010/11,0
temporal,train,749,774,2010/11,0
temporal,train,750,775,2010/11,0
temporal,train,751,776,2010/11,1
temporal,train,752,777,2010/11,0
temporal,train,753,778,2010/11,1
temporal,train,754,779,2010/11,1
temporal,train,755,780,2010/11,0
temporal,train,756,781,2010/11,0
temporal,train,757,782,2010/11,0
temporal,train,758,783,2010/11,0
temporal,train,759,784,2010/11,0
temporal,train,760,785,2010/11,0
temporal,train,761,786,2010/11,0
temporal,train,762,787,2010/11,0
temporal,train,763,788,2010/11,0
temporal,train,764,789,2010/11,1
temporal,train,765,792,2010/11,0
temporal,train,766,793,2010/11,0
temporal,train,767,794,2010/11,1
temporal,train,768,795,2010/11,0
temporal,train,769,797,2010/11,1
temporal,train,770,798,2010/11,1
temporal,train,771,800,2010/11,0
temporal,train,772,801,2010/11,0
temporal,train,773,802,2010/11,1
temporal,train,774,803,2010/11,0
temporal,train,775,804,2010/11,0
temporal,train,776,805,2010/11,0
temporal,train,777,806,2010/11,0
temporal,train,778,807,2010/11,0
temporal,train,779,808,2010/11,0
temporal,train,780,809,2010/11,0
temporal,train,781,810,2010/11,0
temporal,train,782,811,2010/11,0
temporal,train,783,812,2010/11,0
temporal,train,784,813,2010/11,0
temporal,train,785,814,2010/11,0
temporal,train,786,815,2010/11,0
temporal,train,787,816,2010/11,0
temporal,train,788,817,2010/11,0
temporal,train,789,818,2010/11,0
temporal,train,790,819,2010/11,0
temporal,train,791,820,2010/11,0
temporal,train,792,821,2010/11,0
temporal,train,793,822,2010/11,0
temporal,train,794,824,2010/11,1
temporal,train,795,825,2010/11,0
temporal,train,796,826,2010/11,1
temporal,train,797,827,2010/11,1
temporal,train,798,828,2010/11,1
temporal,train,799,829,2010/11,0
temporal,train,800,830,2010/11,0
temporal,train,801,831,2010/11,0
temporal,train,802,832,2010/11,0
temporal,train,803,833,2010/11,0
temporal,train,804,834,2010/11,0
temporal,train,805,835,2010/11,0
temporal,train,806,836,2010/11,0
temporal,train,807,837,2010/11,0
temporal,train,808,838,2010/11,0
temporal,train,809,839,2010/11,0
temporal,train,810,840,2010/11,0
temporal,train,811,841,2010/11,1
temporal,train,812,842,2010/11,0
temporal,train,813,843,2010/11,0
temporal,train,814,844,2010/11,0
temporal,train,815,846,2010/11,0
temporal,train,816,847,2010/11,0
temporal,train,817,848,2010/11,0
temporal,train,818,849,2010/11,0
temporal,train,819,850,2010/11,0
